    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1      MFG                  SFCS_ROUTE_CHECK                    2023-08-10 16:00:32            2023-08-10 16:00:51          00:00:19        pass   
    2      MFG                  OS_VER_BOOTUP_CHECK                 2023-08-10 16:00:51            2023-08-10 16:00:56          00:00:05        fail   
    1      INIT                 SFCS_ROUTE_CHECK                    2023-08-11 16:13:37            2023-08-11 16:13:56          00:00:19        pass   
    2      INIT                 OS_BOOTUP_VER_CHECK                 2023-08-11 16:13:56            2023-08-11 16:14:01          00:00:05        pass   
    3      INIT                 OS_SYNC_TIME                        2023-08-11 16:14:01            2023-08-11 16:14:02          00:00:01        pass   
    4      INIT                 OS_SYNC_FILE                        2023-08-11 16:14:02            2023-08-11 16:14:20          00:00:18        pass   
    5      INIT                 MFG_BOM_CHECK                       2023-08-11 16:14:20            2023-08-11 16:14:52          00:00:32        pass   
    6      TN                   CLEAR_SEL                           2023-08-11 16:14:52            2023-08-11 16:14:57          00:00:05        pass   
    7      TN                   SYS_CYCLE_TEST                      2023-08-11 16:14:57            2023-08-11 16:22:16          00:07:19        pass   
    8      TN                   BMC_SENSOR_CHECK                    2023-08-11 16:22:16            2023-08-11 16:22:28          00:00:12        fail   
    8      TN                   BMC_SENSOR_CHECK                    2023-08-11 16:26:10            2023-08-11 16:26:39          00:00:29        fail   
    8      TN                   BMC_SENSOR_CHECK                    2023-08-11 16:50:22            2023-08-11 16:50:50          00:00:28        fail   
    8      TN                   BMC_SENSOR_CHECK                    2023-08-11 20:50:43            2023-08-11 20:51:12          00:00:29        fail   
    1      INIT                 SFCS_ROUTE_CHECK                    2023-08-13 18:01:22            2023-08-13 18:01:37          00:00:15        pass   
    2      INIT                 OS_BOOTUP_VER_CHECK                 2023-08-13 18:01:37            2023-08-13 18:11:48          00:10:11        fail   
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-17 13:35:18            2023-08-17 13:35:34          00:00:16        pass   
    2      TN_PLD               MFG_BOM_CHECK                       2023-08-17 13:35:34            2023-08-17 13:36:16          00:00:42        pass   
    3      TN_PLD               CPU_CONFIG_CHECK                    2023-08-17 13:36:16            2023-08-17 13:36:46          00:00:30        fail   
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-17 13:42:19            2023-08-17 13:42:33          00:00:14        pass   
    2      TN_PLD               MFG_BOM_CHECK                       2023-08-17 13:42:33            2023-08-17 13:43:10          00:00:37        pass   
    3      TN_PLD               CPU_CONFIG_CHECK                    2023-08-17 13:43:10            2023-08-17 13:43:41          00:00:31        fail   
    2      TN_PLD               PRELOAD_OS                          2023-08-17 14:03:05            2023-08-17 14:03:05          00:00:01        pass   
    3      TN_PLD               MFG_BOM_CHECK                       2023-08-17 14:03:05            2023-08-17 14:03:36          00:00:31        pass   
    4      TN_PLD               CPU_CONFIG_CHECK                    2023-08-17 14:03:36            2023-08-17 14:04:06          00:00:30        fail   
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-17 14:25:15            2023-08-17 14:25:29          00:00:15        pass   
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-17 14:25:15            2023-08-17 14:25:29          00:00:14        pass   
    2      TN_PLD               PRELOAD_OS                          2023-08-17 14:25:52            2023-08-17 14:26:06          00:00:14        fail   
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-17 14:40:35            2023-08-17 14:41:19          00:00:44        fail   
    1      TN_PLD               SFCS_ROUTE_CHECK                    2023-08-17 14:58:06            2023-08-17 14:58:20          00:00:14        pass   
    2      TN_PLD               PRELOAD_OS                          2023-08-17 14:58:20            2023-08-17 15:31:53          00:33:33        fail   
    2      TN_PLD               PRELOAD_OS                          2023-08-17 15:39:14            2023-08-17 15:48:10          00:08:57        pass   
    2      TN_PLD               PRELOAD_OS                          2023-08-17 15:39:14            2023-08-17 15:48:10          00:08:56        pass
